timestamp,strike,type,side,price,trade_pnl,underlier
2022-11-29 14:31:43,18750,CE,SELL,24.15,-0.10000000000000142,NIFTY
2022-11-29 14:31:43,18750,PE,SELL,118.1,0.14999999999999147,NIFTY
2022-11-29 14:31:43,18800,CE,BUY,12.9,,NIFTY
2022-11-29 14:31:43,18800,PE,BUY,157.1,,NIFTY
2022-11-29 14:31:45,18800,CE,SELL,12.9,0.0,NIFTY
2022-11-29 14:31:45,18800,PE,SELL,157.85,0.75,NIFTY
2022-11-29 14:31:45,18750,CE,BUY,24.0,,NIFTY
2022-11-29 14:31:45,18750,PE,BUY,119.0,,NIFTY
2022-11-29 15:21:42,18750,CE,SELL,10.85,-13.15,NIFTY
2022-11-29 15:21:42,18750,PE,SELL,147.85,28.849999999999994,NIFTY
2022-11-29 15:21:42,18700,CE,BUY,21.65,,NIFTY
2022-11-29 15:21:42,18700,PE,BUY,108.85,,NIFTY
2022-11-29 15:21:45,18700,CE,SELL,21.35,-0.29999999999999716,NIFTY
2022-11-29 15:21:45,18700,PE,SELL,109.4,0.5500000000000114,NIFTY
2022-11-29 15:21:45,18750,CE,BUY,10.75,,NIFTY
2022-11-29 15:21:45,18750,PE,BUY,148.6,,NIFTY
2022-11-29 15:21:47,18750,CE,SELL,10.7,-0.05000000000000071,NIFTY
2022-11-29 15:21:47,18750,PE,SELL,148.7,0.09999999999999432,NIFTY
2022-11-29 15:21:47,18700,CE,BUY,21.35,,NIFTY
2022-11-29 15:21:47,18700,PE,BUY,109.5,,NIFTY
2022-11-29 15:21:53,18700,CE,SELL,21.05,-0.3000000000000007,NIFTY
2022-11-29 15:21:53,18700,PE,SELL,109.95,0.45000000000000284,NIFTY
2022-11-29 15:21:53,18750,CE,BUY,10.55,,NIFTY
2022-11-29 15:21:53,18750,PE,BUY,149.75,,NIFTY
2022-11-29 15:21:55,18750,CE,SELL,10.45,-0.10000000000000142,NIFTY
2022-11-29 15:21:55,18750,PE,SELL,149.6,-0.15000000000000568,NIFTY
2022-11-29 15:21:55,18700,CE,BUY,21.0,,NIFTY
2022-11-29 15:21:55,18700,PE,BUY,110.0,,NIFTY
2022-11-29 15:25:21,18700,CE,SELL,21.95,0.9499999999999993,NIFTY
2022-11-29 15:25:21,18700,PE,SELL,109.4,-0.5999999999999943,NIFTY
2022-11-29 15:25:21,18750,CE,BUY,11.3,,NIFTY
2022-11-29 15:25:21,18750,PE,BUY,149.05,,NIFTY
2022-11-29 15:25:36,18750,CE,SELL,11.25,-0.05000000000000071,NIFTY
2022-11-29 15:25:36,18750,PE,SELL,149.0,-0.05000000000001137,NIFTY
2022-11-29 15:25:36,18700,CE,BUY,21.85,,NIFTY
2022-11-29 15:25:36,18700,PE,BUY,109.2,,NIFTY
2022-11-29 15:25:38,18700,CE,SELL,21.95,0.09999999999999787,NIFTY
2022-11-29 15:25:38,18700,PE,SELL,109.45,0.25,NIFTY
2022-11-29 15:25:38,18750,CE,BUY,11.25,,NIFTY
2022-11-29 15:25:38,18750,PE,BUY,149.1,,NIFTY
2022-11-29 15:25:40,18750,CE,SELL,11.3,0.05000000000000071,NIFTY
2022-11-29 15:25:40,18750,PE,SELL,148.65,-0.44999999999998863,NIFTY
2022-11-29 15:25:40,18700,CE,BUY,21.9,,NIFTY
2022-11-29 15:25:40,18700,PE,BUY,109.25,,NIFTY
2022-11-29 15:25:41,18700,CE,SELL,21.8,-0.09999999999999787,NIFTY
2022-11-29 15:25:41,18700,PE,SELL,108.9,-0.3499999999999943,NIFTY
2022-11-29 15:25:41,18750,CE,BUY,11.25,,NIFTY
2022-11-29 15:25:41,18750,PE,BUY,148.65,,NIFTY
2022-11-29 15:29:59,18750,CE,SELL,12.8,1.5500000000000007,NIFTY
2022-11-29 15:29:59,18750,PE,SELL,145.6,-3.0500000000000114,NIFTY
2022-11-30 09:15:00,18700,CE,BUY,25.9,,NIFTY
2022-11-30 09:15:00,18700,PE,BUY,105.85,,NIFTY
2022-11-30 09:15:01,18700,CE,SELL,25.5,-0.3999999999999986,NIFTY
2022-11-30 09:15:01,18700,PE,SELL,85.6,-20.25,NIFTY
2022-11-30 09:15:01,18750,CE,BUY,14.0,,NIFTY
2022-11-30 09:15:01,18750,PE,BUY,124.5,,NIFTY
2022-11-30 09:19:14,18750,CE,SELL,21.0,7.0,NIFTY
2022-11-30 09:19:14,18750,PE,SELL,104.25,-20.25,NIFTY
2022-11-30 09:19:14,18800,CE,BUY,11.1,,NIFTY
2022-11-30 09:19:14,18800,PE,BUY,144.95,,NIFTY
2022-11-30 09:20:08,18800,CE,SELL,10.6,-0.5,NIFTY
2022-11-30 09:20:08,18800,PE,SELL,143.95,-1.0,NIFTY
