timestamp,strike,type,side,price,trade_pnl,underlier
2022-11-10 09:55:42,41700,PE,BUY,216.1,,BANKNIFTY
2022-11-10 09:55:43,41700,CE,SELL,36.0,-0.3500000000000014,BANKNIFTY
2022-11-10 09:55:43,41700,PE,SELL,216.2,0.09999999999999432,BANKNIFTY
2022-11-10 09:55:43,41600,CE,BUY,66.35,,BANKNIFTY
2022-11-10 09:55:43,41600,PE,BUY,146.55,,BANKNIFTY
2022-11-10 09:56:26,41600,CE,SELL,65.15,-1.1999999999999886,BANKNIFTY
2022-11-10 09:56:26,41600,PE,SELL,146.4,-0.15000000000000568,BANKNIFTY
2022-11-10 09:56:26,41700,CE,BUY,35.6,,BANKNIFTY
2022-11-10 09:56:26,41700,PE,BUY,217.05,,BANKNIFTY
2022-11-10 09:56:28,41700,CE,SELL,35.1,-0.5,BANKNIFTY
2022-11-10 09:56:28,41700,PE,SELL,217.9,0.8499999999999943,BANKNIFTY
2022-11-10 09:56:28,41600,CE,BUY,64.4,,BANKNIFTY
2022-11-10 09:56:28,41600,PE,BUY,147.0,,BANKNIFTY
2022-11-10 10:00:42,41600,CE,SELL,63.0,-1.4000000000000057,BANKNIFTY
2022-11-10 10:00:42,41600,PE,SELL,145.3,-1.6999999999999886,BANKNIFTY
2022-11-10 10:00:42,41700,CE,BUY,34.25,,BANKNIFTY
2022-11-10 10:00:42,41700,PE,BUY,217.0,,BANKNIFTY
2022-11-10 10:00:45,41700,CE,SELL,34.5,0.25,BANKNIFTY
2022-11-10 10:00:45,41700,PE,SELL,215.9,-1.0999999999999943,BANKNIFTY
2022-11-10 10:00:45,41600,CE,BUY,63.65,,BANKNIFTY
2022-11-10 10:00:45,41600,PE,BUY,145.0,,BANKNIFTY
2022-11-10 10:00:55,41600,CE,SELL,64.55,0.8999999999999986,BANKNIFTY
2022-11-10 10:00:55,41600,PE,SELL,141.7,-3.3000000000000114,BANKNIFTY
2022-11-10 10:00:55,41700,CE,BUY,35.0,,BANKNIFTY
2022-11-10 10:00:55,41700,PE,BUY,210.0,,BANKNIFTY
2022-11-10 10:27:16,41700,CE,SELL,29.35,-5.649999999999999,BANKNIFTY
2022-11-10 10:27:16,41700,PE,SELL,209.8,-0.19999999999998863,BANKNIFTY
2022-11-10 10:27:16,41600,CE,BUY,56.8,,BANKNIFTY
2022-11-10 10:27:16,41600,PE,BUY,138.0,,BANKNIFTY
2022-11-10 10:27:44,41600,CE,SELL,57.55,0.75,BANKNIFTY
2022-11-10 10:27:44,41600,PE,SELL,136.6,-1.4000000000000057,BANKNIFTY
2022-11-10 10:27:44,41700,CE,BUY,30.1,,BANKNIFTY
2022-11-10 10:27:44,41700,PE,BUY,208.4,,BANKNIFTY
2022-11-10 10:27:50,41700,CE,SELL,29.95,-0.15000000000000213,BANKNIFTY
2022-11-10 10:27:50,41700,PE,SELL,209.4,1.0,BANKNIFTY
2022-11-10 10:27:50,41600,CE,BUY,57.85,,BANKNIFTY
2022-11-10 10:27:50,41600,PE,BUY,137.0,,BANKNIFTY
2022-11-10 10:27:54,41600,CE,SELL,58.35,0.5,BANKNIFTY
2022-11-10 10:27:54,41600,PE,SELL,136.55,-0.44999999999998863,BANKNIFTY
2022-11-10 10:27:54,41700,CE,BUY,30.2,,BANKNIFTY
2022-11-10 10:27:54,41700,PE,BUY,208.8,,BANKNIFTY
2022-11-10 10:28:03,41700,CE,SELL,30.45,0.25,BANKNIFTY
2022-11-10 10:28:03,41700,PE,SELL,207.1,-1.700000000000017,BANKNIFTY
2022-11-10 10:28:03,41600,CE,BUY,58.35,,BANKNIFTY
2022-11-10 10:28:03,41600,PE,BUY,136.2,,BANKNIFTY
2022-11-10 10:28:08,41600,CE,SELL,59.75,1.3999999999999986,BANKNIFTY
2022-11-10 10:28:08,41600,PE,SELL,133.0,-3.1999999999999886,BANKNIFTY
2022-11-10 10:28:08,41700,CE,BUY,31.3,,BANKNIFTY
2022-11-10 10:28:08,41700,PE,BUY,207.0,,BANKNIFTY
2022-11-10 10:31:03,41700,CE,SELL,29.55,-1.75,BANKNIFTY
2022-11-10 10:31:03,41700,PE,SELL,211.55,4.550000000000011,BANKNIFTY
2022-11-10 10:31:03,41600,CE,BUY,56.95,,BANKNIFTY
2022-11-10 10:31:03,41600,PE,BUY,137.85,,BANKNIFTY
2022-11-10 10:31:19,41600,CE,SELL,58.2,1.25,BANKNIFTY
2022-11-10 10:31:19,41600,PE,SELL,136.5,-1.3499999999999943,BANKNIFTY
2022-11-10 10:31:19,41700,CE,BUY,30.35,,BANKNIFTY
2022-11-10 10:31:19,41700,PE,BUY,209.35,,BANKNIFTY
2022-11-10 10:31:21,41700,CE,SELL,30.55,0.1999999999999993,BANKNIFTY
2022-11-10 10:31:21,41700,PE,SELL,207.0,-2.3499999999999943,BANKNIFTY
2022-11-10 10:31:21,41600,CE,BUY,59.3,,BANKNIFTY
2022-11-10 10:31:21,41600,PE,BUY,134.35,,BANKNIFTY
2022-11-10 10:31:22,41600,CE,SELL,59.2,-0.09999999999999432,BANKNIFTY
2022-11-10 10:31:22,41600,PE,SELL,134.35,0.0,BANKNIFTY
2022-11-10 10:31:22,41700,CE,BUY,30.95,,BANKNIFTY
2022-11-10 10:31:22,41700,PE,BUY,207.25,,BANKNIFTY
2022-11-10 10:31:32,41700,CE,SELL,30.15,-0.8000000000000007,BANKNIFTY
2022-11-10 10:31:32,41700,PE,SELL,210.45,3.1999999999999886,BANKNIFTY
2022-11-10 10:31:32,41600,CE,BUY,57.8,,BANKNIFTY
2022-11-10 10:31:32,41600,PE,BUY,137.25,,BANKNIFTY
2022-11-10 10:31:34,41600,CE,SELL,57.7,-0.09999999999999432,BANKNIFTY
2022-11-10 10:31:34,41600,PE,SELL,136.55,-0.6999999999999886,BANKNIFTY
2022-11-10 10:31:34,41700,CE,BUY,30.1,,BANKNIFTY
2022-11-10 10:31:34,41700,PE,BUY,208.45,,BANKNIFTY
2022-11-10 10:31:39,41700,CE,SELL,30.0,-0.10000000000000142,BANKNIFTY
2022-11-10 10:31:39,41700,PE,SELL,210.0,1.5500000000000114,BANKNIFTY
2022-11-10 10:31:39,41600,CE,BUY,57.7,,BANKNIFTY
2022-11-10 10:31:39,41600,PE,BUY,137.25,,BANKNIFTY
2022-11-10 10:45:20,41600,CE,SELL,55.0,-2.700000000000003,BANKNIFTY
2022-11-10 10:45:20,41600,PE,SELL,137.6,0.3499999999999943,BANKNIFTY
2022-11-10 10:45:20,41700,CE,BUY,28.1,,BANKNIFTY
2022-11-10 10:45:20,41700,PE,BUY,210.95,,BANKNIFTY
2022-11-10 10:45:43,41700,CE,SELL,28.0,-0.10000000000000142,BANKNIFTY
2022-11-10 10:45:43,41700,PE,SELL,213.6,2.6500000000000057,BANKNIFTY
2022-11-10 10:45:43,41600,CE,BUY,54.55,,BANKNIFTY
2022-11-10 10:45:43,41600,PE,BUY,139.5,,BANKNIFTY
2022-11-10 10:45:47,41600,CE,SELL,55.0,0.45000000000000284,BANKNIFTY
2022-11-10 10:45:47,41600,PE,SELL,138.5,-1.0,BANKNIFTY
2022-11-10 10:45:47,41700,CE,BUY,28.05,,BANKNIFTY
2022-11-10 10:45:47,41700,PE,BUY,212.65,,BANKNIFTY
2022-11-10 10:46:51,41700,CE,SELL,27.3,-0.75,BANKNIFTY
2022-11-10 10:46:51,41700,PE,SELL,216.4,3.75,BANKNIFTY
2022-11-10 10:46:51,41600,CE,BUY,53.2,,BANKNIFTY
